Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF
Ingardia Bros Produce Inc.,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,700 S Hathaway St,Santa Ana,Unknown,CA,Unknown,92705,#N/A,#N/A,#N/A
Ingram Micro DC,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,12510 Micro Crive,Mira Loma,Bemus- Maintenance,CA,Maintenance,91752,#N/A,#N/A,#N/A
Inland Vineyard Fellowship,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,935 N. Mckinley Street,Corona,Bemus- Maintenance,CA,Maintenance,92879,#N/A,#N/A,#N/A
Inserni Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3413 Jasmine Crest,Encinitas,Bemus- Tree Care,CA,Tree Care,92024,#N/A,#N/A,#N/A
Insurance Auto Auction,Bemus San Marcos,Industrial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,"2380 Britannia Blvd C, San Diego, CA 92154",San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92154,#N/A,#N/A,#N/A
Interpacific Asset Management-Office,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,5505 Garden Grove Blvd #150,Westminster,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92683,#N/A,#N/A,#N/A
Investment Building Group - Office,Bemus Riverside,Industrial,Unknown,Unknown,Unknown,Unknown,Unknown,Marketing Campaign,5100 Campus Drive,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Irene Rowe Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,35 South Peak,Laguna Niguel,Bemus- Tree Care,CA,Tree Care,92677,#N/A,#N/A,#N/A
Iris Landing HOA,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,26081 Iris Ave,Moreno Valley,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92555,#N/A,#N/A,#N/A
Iron Grip Barbell Company,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4012 W. Garry Ave.,Santa Ana,Unknown,CA,Unknown,92704,#N/A,#N/A,#N/A
Ironwood at Portola Springs,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,New Business,45 Distant Star,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,Unknown,#N/A,#N/A,#N/A
Irvine Company- Spectrum Common Area,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8 Pasteur Street,Irvine,Unknown,CA,Unknown,92618,#N/A,#N/A,#N/A
Irvine Company- Zone 2B,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,41 Discovery,Irvine,Unknown,CA,Unknown,92618,#N/A,#N/A,#N/A
Irvine Cove,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,198 Irvine Cove Way,Laguna Beach,Bemus- Tree Care,CA,Tree Care,92651,#N/A,#N/A,#N/A
Irvine Sub (SCE),Bemus Santa Ana - Hathaway,Industrial,1,Dumb,Unknown,Unknown,Unknown,Unknown,6921 Trabuco Rd,Irvine,Bemus- Maintenance,CA,Maintenance,92620,#N/A,#N/A,#N/A
Irvine Wildflower Homeowner Association,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5151 Walnut Ave,Irvine,Bemus- Tree Care,CA,Tree Care,92618,#N/A,#N/A,#N/A
Irvine/ Hughes,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"10, 12, 14, & 16 Hughes",Irvine,Unknown,CA,Unknown,92618,#N/A,#N/A,#N/A
Isarowong Residence,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24901 Rollingwood,Lake Forest,Bemus- Tree Care,CA,Tree Care,92630,#N/A,#N/A,#N/A
Island Club Apartments,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,2300 Catalina Circle,Oceanside,Unknown,CA,Unknown,92056,#N/A,#N/A,#N/A
Islands HOA,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,59 Barbados Dr.,Aliso Viejo,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92656,#N/A,#N/A,#N/A
Ivar Sub (SCE),Bemus Santa Ana - Hathaway,Industrial,1,Dumb,Unknown,Unknown,Unknown,Unknown,4613 Ivar Blvd,Rosemead,Bemus- Maintenance,CA,Maintenance,91770,#N/A,#N/A,#N/A
Ivey Crest,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,San Diego,Unknown,CA,Unknown,Unknown,#N/A,#N/A,#N/A
Ivey Glenn,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1261 Ivey Ranch Road,Oceanside,Unknown,CA,Unknown,92057,#N/A,#N/A,#N/A
Ivey Hill Condo,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Scripps Poway,Unknown,CA,Unknown,Unknown,#N/A,#N/A,#N/A
Ivey Ridge,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4050 Ivey Vista Way,Oceanside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92057,#N/A,#N/A,#N/A
Ivy Crest HOA,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10880 Ivy Hill Dr.,San Diego,Unknown,CA,Unknown,92131,#N/A,#N/A,#N/A
Ivy Hill at Scripps Ranch Villages,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10922 Ivy Hill Dr,San Diego,Unknown,CA,Unknown,92131,#N/A,#N/A,#N/A
J Serra High School,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,26351 Junipero Serra Road,San Juan Capistrano,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92675,#N/A,#N/A,#N/A
Jacaranda I Maintenance Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8112 Starr Street,Stanton,Unknown,CA,Unknown,90680,#N/A,#N/A,#N/A
Jackie Santavey Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12810 Carriage Road,Poway,Bemus- Tree Care,CA,Tree Care,92064,#N/A,#N/A,#N/A
Jade Coast Condominiums,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Jade Coast Road,San Diego,Bemus- Tree Care,CA,Tree Care,92126,#N/A,#N/A,#N/A
Jade Tree HOA,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,Butterfield Ranch Road and Saint Gaudnes,Chino Hills,Bemus- Maintenance,CA,Maintenance,91709,#N/A,#N/A,#N/A
Jaguar Land Rover Sales Newport Beach,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1540 Jamboree Rd.,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Jaguar Land Rover Service Newport Beach,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2101 Dove St,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Jamacha Greens,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,975 Amistad Pl,El Cajon,Bemus- Tree Care,CA,Tree Care,92019,#N/A,#N/A,#N/A
Jamboree Business Park,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14150 Myford Road,Irvine,Unknown,CA,Unknown,92606,#N/A,#N/A,#N/A
James Place Apartments,Bemus San Marcos,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1311 Fourth Ave,Chula Vista,Unknown,CA,Unknown,91911,#N/A,#N/A,#N/A
Jamestowne Homeowners Association,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4548 Bates Dr.,Yorba Linda,Unknown,CA,Unknown,92886,#N/A,#N/A,#N/A
Janis Residence,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1704 Via Violeta,San Clemente,Bemus- Tree Care,CA,Tree Care,92673,#N/A,#N/A,#N/A
Jasmine Creek Community Association,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,New Business,110 Jasmine Creek,Newport Beach,Unknown,CA,Unknown,92625,#N/A,#N/A,#N/A
Jasmine Walk Community,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,8601 Western Avenue,Buena Park,Unknown,CA,Maintenance and Tree Care,90620,#N/A,#N/A,#N/A
Jean Candiotti Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24761 Winterwood,Lake Forest,Bemus- Tree Care,CA,Tree Care,92630,#N/A,#N/A,#N/A
Jean Spearmen Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,19 South Peak,Laguna Niguel,Bemus- Tree Care,CA,Tree Care,92677,#N/A,#N/A,#N/A
Jeff Hoeft Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,26472 Broken Bit Lane,Laguna Hills,Bemus- Tree Care,CA,Tree Care,92653,#N/A,#N/A,#N/A
Jeff McGuire - 1105 Stratford Court,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1105 Stratford Court,Del Mar,Unknown,CA,Unknown,92014,#N/A,#N/A,#N/A
Jeff White Residence - 7 Gardenia,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7 Gardenia,Ladera Ranch,Bemus- Tree Care,CA,Tree Care,92694,#N/A,#N/A,#N/A
Jefferson Business park,Bemus Santa Ana - Hathaway,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,610 S Jefferson st # M,Placentia,Bemus- Tree Care,CA,Tree Care,92870,#N/A,#N/A,#N/A
Jenks Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,405 Placer Ave,San Marcos,Bemus- Tree Care,CA,Tree Care,92069,#N/A,#N/A,#N/A
Jenner Business Park 1,Bemus Santa Ana - Hathaway,Unknown,Unknown,Smart,No,No,Unknown,Unknown,4 Jenner,Irvine,Bemus- Maintenance,CA,Maintenance,92618,#N/A,#N/A,#N/A
Jenner Business Park 2,Bemus Santa Ana - Hathaway,Unknown,Unknown,Smart,No,No,Unknown,Unknown,4 Jenner,Irvine,Bemus- Maintenance,CA,Maintenance,92618,#N/A,#N/A,#N/A
Jenner Business Park 3,Bemus Santa Ana - Hathaway,Unknown,Unknown,Smart,No,No,Unknown,Unknown,8 Pasteur,Irvine,Bemus- Maintenance,CA,Maintenance,92618,#N/A,#N/A,#N/A
Jennifer Scarborough Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,419 East 19th Street,Costa Mesa,Bemus- Tree Care,CA,Tree Care,92626,#N/A,#N/A,#N/A
Jensen Residence (Bemus),Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2802 Atadero Court,Carlsbad,Bemus- Tree Care,CA,Tree Care,92009,#N/A,#N/A,#N/A
Jim Redmond Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25462 Evans Pointe,Dana Point,Bemus- Tree Care,CA,Tree Care,92629,#N/A,#N/A,#N/A
JLA Real Estate - Office,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3590 Central Avenue Suite 206,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92506,#N/A,#N/A,#N/A
JLL BMW Ontario,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,New Business,1175 S Dupont,Ontario,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91761,#N/A,#N/A,#N/A
JLL Office,Bemus Santa Ana - Anne,Industrial,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,17877 Von Karman Ave,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92614,#N/A,#N/A,#N/A
Joan Marcus-Colvin Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,246 Cajon St,Laguna Beach,Unknown,CA,Unknown,92651,#N/A,#N/A,#N/A
Johanna Sub (SCE),Bemus Santa Ana - Hathaway,Industrial,1,Dumb,Unknown,Unknown,Unknown,Unknown,Grand Ave/Warner Ave,Santa Ana,Bemus- Maintenance,CA,Maintenance,92705,#N/A,#N/A,#N/A
John Ferris Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5 Libra Court,Coto De Caza,Bemus- Tree Care,CA,Tree Care,92679,#N/A,#N/A,#N/A
John Olson,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,89 Linda Isle,Newport Beach,Bemus- Tree Care,CA,Tree Care,92660,#N/A,#N/A,#N/A
Jon Bruegl,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22738 Bayshore,Lake Forest,Bemus- Tree Care,CA,Tree Care,92630,#N/A,#N/A,#N/A
Jon Hughes Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4 Pinehurst,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Jon Parry Residence,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2 Via Cancion,San Clemente,Bemus- Tree Care,CA,Tree Care,92673,#N/A,#N/A,#N/A
Joyce Hoffman,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28011 San Juan Creek Road,San Juan Capistrano,Unknown,CA,Unknown,92675,#N/A,#N/A,#N/A
Joyce Tucker residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12 Linda Isle,Newport Beach,Bemus- Tree Care,CA,Tree Care,92660,#N/A,#N/A,#N/A
JR Distributor International Inc,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,4518 Dale Street,Montclair,Bemus- Maintenance,CA,Maintenance,91763,#N/A,#N/A,#N/A
JS & S Environmental Services - Office,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,925 Poinsetta Ave. Suite 4,Vista,Unknown,CA,Unknown,92081,#N/A,#N/A,#N/A
Judith Kemp Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,547 Leucadia Village Ct,Encinitas,Bemus- Tree Care,CA,Tree Care,92024,#N/A,#N/A,#N/A
Judy Harris Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24511 Overlake,Lake Forest,Bemus- Tree Care,CA,Tree Care,92630,#N/A,#N/A,#N/A
Julie Carter Residence,Bemus Santa Ana - Hathaway,Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,21792 Midcrest Drive,Lake Forest,Bemus- Tree Care,CA,Tree Care,92630,#N/A,#N/A,#N/A
Junction at Del Mar – 12707-12777 High Bluff Drive,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,Junction at Del Mar – 12707-12777 High Bluff Drive,San Diego,Bemus- Tree Care,CA,Tree Care,92130,#N/A,#N/A,#N/A
Juniper HOA Shady Trails - STR3,Bemus Riverside,HOA/COA/TOA,5,Dumb,Unknown,Unknown,Unknown,Customer Referral,15800 South Park Lane,Fontana,Bemus- Maintenance,CA,Maintenance,92336,#N/A,#N/A,#N/A
Jurupa Business Park,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Call In,4100-4240 E. Jurupa St.,Ontario,Unknown,CA,Unknown,91761,#N/A,#N/A,#N/A
Kagan Publishing & Professional Development,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,981 Calle Amanecer,San Clemente,Bemus- Construction,CA,Unknown,92673,#N/A,#N/A,#N/A
Kammeier Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,New Business,368 N. Villa Remo,anaheim,Unknown,CA,Unknown,92806,#N/A,#N/A,#N/A
Karen Condos,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,700 Madison Ave,Chula Vista,Unknown,CA,Unknown,91910,#N/A,#N/A,#N/A
Karen Holthe Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18975 Mesa Drive,Villa Park,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92861,#N/A,#N/A,#N/A
Karen Martinez Residence,Bemus San Marcos,Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6477 Edmonton Ave,San Diego,Unknown,CA,Unknown,92122,#N/A,#N/A,#N/A
Kari Swanberg Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12817 Carriage Road,Poway,Bemus- Tree Care,CA,Tree Care,92064,#N/A,#N/A,#N/A
Karlyuk Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2406 La Plancha,Carlsbad,Unknown,CA,Unknown,92009,#N/A,#N/A,#N/A
Karma Automotive,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9950 Jeronimo Rd.,Irvine,Unknown,CA,Unknown,92618,#N/A,#N/A,#N/A
Kartozian Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Employee Referral,9861 Briley Way,Villa Park,Bemus- Tree Care,CA,Tree Care,92861,#N/A,#N/A,#N/A
Katella Plaza,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,235 E Katella Ave,Orange,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,Unknown,#N/A,#N/A,#N/A
Kathy Dubia Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29 South peak,Laguna Niguel,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92677,#N/A,#N/A,#N/A
Kathy Infantino Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2500 Marino Dr,Newport Beach,Unknown,CA,Unknown,92663,#N/A,#N/A,#N/A
Katy Erling Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,644 Avondale Drive,Corona,Unknown,CA,Unknown,92879,#N/A,#N/A,#N/A
Katz Residence,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18210 Old Coach Drive,Poway,Bemus- Tree Care,CA,Tree Care,92064,#N/A,#N/A,#N/A
KB Home,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,36310 Inland Valley Drive,Wildomar,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92595,#N/A,#N/A,#N/A
Kearney Mesa Corporate Center,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,Unknown,San Diego,Unknown,CA,Unknown,Unknown,#N/A,#N/A,#N/A
Kearny Mesa Business Park,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,3914 Murphy Canyon Rd.,San Diego,Bemus- Maintenance,CA,Maintenance,92123,#N/A,#N/A,#N/A
Kellogg Terrace Condominium Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6050 Terrace Lane,Yorba Linda,Unknown,CA,Unknown,92886,#N/A,#N/A,#N/A
Kelsey Lane Maintenance Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,39 Kelsey,Irvine,Bemus- Maintenance/Tree Care,CA,Unknown,92618,#N/A,#N/A,#N/A
Kensington Park Villas Association,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4398 Caminito De La Escena,San Diego,Unknown,CA,Unknown,92108,#N/A,#N/A,#N/A
Kent Lemasters Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2701 Point Del Mar,Corona del mar,Bemus- Tree Care,CA,Tree Care,92652,#N/A,#N/A,#N/A
Kent Ranch,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1354 Charlotta Way,Escondido,Unknown,CA,Unknown,92026,#N/A,#N/A,#N/A
Kenwood Community Association,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,71 Eaglecreek,Irvine,Unknown,CA,Unknown,92618,#N/A,#N/A,#N/A
Kerrigan Ranch HOA,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,3873 Breton Ln,Yorba Linda,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92886,#N/A,#N/A,#N/A
Kevin Swanson Residence,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15 South Peak,Laguna Niguel,Bemus- Tree Care,CA,Tree Care,92677,#N/A,#N/A,#N/A
Keystone Pacific -Ontario Office,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,3155 -D Sedona Ct. # 150,Ontario,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91764,#N/A,#N/A,#N/A
Keystone Pacific -Temecula Office,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,41593 Winchester Rd. #113,Temecula,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92590,#N/A,#N/A,#N/A
Keystone Pacific Irvine Office,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16775 Von Karman,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,Unknown,#N/A,#N/A,#N/A
Keystone Pacific RSM-Office,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,30211 Avenida De Las Banderas Suite 120,Rancho Santa Margarita,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92688,#N/A,#N/A,#N/A
Kilroy Centre Del Mar Office Park,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,"3579, 3611, 3661, 3721 & 3811 Valley Center Drive",San Diego,Bemus- Maintenance,CA,Maintenance,92130,#N/A,#N/A,#N/A
Kilroy Sabre Springs Office Park,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,"13280, 13290 Evening Creek Drive South, 13480, 13500, 13520 Evening Creek N",San Diego,Bemus- Maintenance,CA,Maintenance,92128,#N/A,#N/A,#N/A
Kilroy University Centre Office,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,4690 Executive Drive,San Diego,Bemus- Maintenance,CA,Maintenance,92121,#N/A,#N/A,#N/A
Kilson-Oak Complex,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2911 S. Oak Street,Santa Ana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92707,#N/A,#N/A,#N/A
Kim Residence,Bemus Santa Ana - Anne,Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6831 Melbourne Drive,Huntington Beach,Bemus- Tree Care,CA,Tree Care,92647,#N/A,#N/A,#N/A
Kim Test Bemus,Bemus Riverside,Corporate Campus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,26500 Agoura Rd Ste 102-541,Calabasas,Unknown,CA,Unknown,91302,#N/A,#N/A,#N/A
Kirkland Residence,Bemus San Marcos,Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1762 Old Glen St,San Marcos,Unknown,CA,Unknown,92078,#N/A,#N/A,#N/A
Kite Hill Homeowners Association,Bemus San Juan Capistrano,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,29101 Recreational Center Dr,Laguna Niguel,Bemus- Maintenance/Tree Care,CA,Unknown,92677,#N/A,#N/A,#N/A
Kleckner Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5 Chatham,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Kline Ranch II br40932,Bemus Riverside,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,3996 S Riverside Ave,Colton,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92324,#N/A,#N/A,#N/A
Klucas Residence,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25952 Via Del Sur,Mission Viejo,Unknown,CA,Unknown,92691,#N/A,#N/A,#N/A
KM Asset Group,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5710 E. La Palma,Anaheim Hills,Unknown,CA,Unknown,92807,#N/A,#N/A,#N/A
Knott-Lampson Homeowners Association,Bemus Santa Ana - Anne,Unknown,3,Dumb,No,No,Unknown,New Business,6951 Knollcrest Ln,Garden Grove,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92845,#N/A,#N/A,#N/A
Knudson Residence (Bemus),Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6261 E. Twin Peak Circle,Anaheim Hills,Unknown,CA,Unknown,92807,#N/A,#N/A,#N/A
"KOA Anaheim Property, Inc.",Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1801 West Romneya,Anaheim,Unknown,CA,Unknown,92801,#N/A,#N/A,#N/A
Koch Palmyrita Commercial Building,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,731 Palmyrita Ave,Riverside,Bemus- Maintenance,CA,Maintenance,92507,#N/A,#N/A,#N/A
