Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF
Beth Jacob,Bemus Santa Ana - Hathaway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3900 Michelson Dr.,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92612,#N/A,#N/A,#N/A
Beth Moorhead Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,23861 Inverness Place,Laguna Niguel,Bemus- Tree Care,CA,Tree Care,92677,#N/A,#N/A,#N/A
Bev Martin Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24472 Overlake,Lake Forest,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92630,#N/A,#N/A,#N/A
BHE Management - Office,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,30011 Ivy Glen Dr #118,Laguna Niguel,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92677,#N/A,#N/A,#N/A
Big Canyon Country Club,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1 Big Canyon Drive,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Big Canyon Villas Homeowners Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,New Business,501 Bay Hill Dr.,Newport Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92660,#N/A,#N/A,#N/A
Bill Bemus Residence,Bemus San Juan Capistrano,Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4036 Calle Louisa,San Clemente,Bemus- Tree Care,CA,Tree Care,92672,#N/A,#N/A,#N/A
Bill Gerard Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5145 Via Primaria,Yorba Linda,Bemus- Maintenance,CA,Maintenance,92886,#N/A,#N/A,#N/A
Birch Hills Golf Course,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2250 E Birch St,Brea,Unknown,CA,Unknown,92821,#N/A,#N/A,#N/A
Birchwood & Greenbrier HOA,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,16247 Tradewind,Chino,Bemus- Maintenance,CA,Maintenance,91708,#N/A,#N/A,#N/A
Birchwood Village,Bemus Santa Ana - Anne,Multifamily/ Apartments,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1717 E. Birch St.,Brea,Bemus- Tree Care,CA,Tree Care,92821,#N/A,#N/A,#N/A
Birtcher Center DC at Mt Vernon,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,1075 Mt Vernon Ave,Riverside,Bemus- Maintenance,CA,Maintenance,92507,#N/A,#N/A,#N/A
Bishop Place Homeowners Association,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14971 Valencia Plaza,Westminster,Unknown,CA,Unknown,92683,#N/A,#N/A,#N/A
Bixby Green HOA,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12583 Cluster Pines Road,Garden Grove,Bemus- Tree Care,CA,Tree Care,92845,#N/A,#N/A,#N/A
